"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"V1",3.1822941928751,0,0,-0.603079389315099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.828493993263692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V2",0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.881637506885454,0,0,0,0,0,-0.902437891578302,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.773667128174566
"V3",0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.90435504890047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.844814665033482,0,0,0,-0.763034173985943,0,0.78744932776317,0,0
"V4",-0.603079389315099,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525917935767211,0,0,0,0,0,0,0,0,0,0,0,0.85188272013329,0,0,0,0,0,0
"V5",0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V6",0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869022538070567,0,-0.740362950600684,0,0,0,0,0,0.576436934061348,0,0,0,0,0,0,0
"V7",0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603468700312078,0,0,0.947133897920139,0.588541591889225,0,0,0,0,0,0,0,0,-0.905540150590241,0,0,0,0,0,0,0,0,0,0,0,0
"V8",0,0,0,0,0,0,0,3.1822941928751,0,0.700568368658423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.621814892161638,-0.556691856123507,0,0,0,0,0,0,0,0,0.937633687863126,0,0,0,0,0,0,0
"V9",0,0,0,0,0,0,0,0,3.1822941928751,0,0,0.713996922597289,0,0.630461953231134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683779877610505,0,0,0,0,0,0,0,0,0,0,0,0,0.822719122166745,0,0,0,0
"V10",0,0,0,0,0,0,0,0.700568368658423,0,3.1822941928751,-0.835984772071242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.822612874442711,0.569783581420779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V11",0,0,0,0,0,0,0,0,0,-0.835984772071242,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647886265651323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597142972168513,0,0
"V12",0,0,0,0,0,0,0,0,0.713996922597289,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V13",0,0,0,0,0,0,0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,-0.620532405446284,0,-0.989723405684344,0,0,0,0,0.95729190192651,0,0,-0.883754655136727,0,0,0,0.836391355842352,0,0,0,-0.563404612243176,0,0,0,0,0,0,0,0.594608834479004,0,0,0,-0.887255043839104,0
"V14",0,0,0,0,0,0,0,0,0.630461953231134,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,-1.20538465783466,0,-0.631127814762294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69515821360983,0,0,0,0,0,0,0,0.998750963830389,0,0
"V15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0.590000861207955,0,0,0,0,0,0,0,0.656701710307971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694507820880972,0
"V16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V19",0,0,0,0,0,0,0,0,0,0,0,0,-0.620532405446284,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926996022928506,0,0.577543338178657,-0.596348578226753,0,0,0,0,0
"V20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V21",0,0,0,0,0,0,0,0,0,0,0,0,-0.989723405684344,0,0,0,0,0,0,0,3.1822941928751,0.864827346871607,0,0,0,0,0,0.847811068408191,0,0,0,0,0,0,0,0,0,0,0,0.727883235551417,0,0,0,0,-0.909379290416837,0,0,0,0,0
"V22",0,0,-0.90435504890047,0,0,0,0,0,0,0,0,0,0,0,0.590000861207955,0,0,0,0,0,0.864827346871607,3.1822941928751,0,0,0,0,-0.960885271546431,0.834570194245316,0,0,0,0,0,0,0,0.564140843343921,0,0,0,0,0,0,0.756399515550584,0,0,0,0,0,0,0
"V23",0,0,0,0,0,0,0,0,0,0,0,0,0,-1.20538465783466,0,0,0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"V24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1822941928751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
